case_index,campaign,velocity_mps,nominal_load_factor,time_step_s,mode7_frequency_scale,excited,pitch_rate_command_deg_s,pitch_amplitude_deg,stiffness_delta_k7,stem,input_sha256,status,message
1,primary,66.25,1.0,0.01,1.0,False,0.0,0.0,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_shadow,5303d7ed389a2536d033bda5ecb037bfba3adec7a890d43496ce807744a444f3,prepared,input MBDyn generated; no solver run
2,primary,66.25,1.0,0.01,1.0,True,0.0,0.0,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_excited,745f6293ed43fcc5c343f65baf8adbfeb1033c697bfb0b48a58777f1a61d4722,prepared,input MBDyn generated; no solver run
3,primary,66.25,1.3,0.01,1.0,False,2.5452298733132275,5.154090493459285,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p05p15_qcmd_p02p55_nnom_01p30_shadow,cdfa92e9fc8a7c219d74e788f7f4b9ce7bd39cc834a2126d7028e1bd6e971161,prepared,input MBDyn generated; no solver run
4,primary,66.25,1.3,0.01,1.0,True,2.5452298733132275,5.154090493459285,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p05p15_qcmd_p02p55_nnom_01p30_excited,c568ef323199315c3d24faff4309675a136eea4809d51e543c643a04a032749a,prepared,input MBDyn generated; no solver run
5,primary,66.25,1.6,0.01,1.0,False,5.090459746626455,10.30818098691857,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p10p31_qcmd_p05p09_nnom_01p60_shadow,c42e1cbc60796606f888e968a6f5ff59b4516581196791b585daf32b4b748df9,prepared,input MBDyn generated; no solver run
6,primary,66.25,1.6,0.01,1.0,True,5.090459746626455,10.30818098691857,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p250_n_1p000_bank_p00p00_pitch_p10p31_qcmd_p05p09_nnom_01p60_excited,462bcbc02d6fe18cf404223bc7626515dbeeee5bda06fc990d638852a478efdb,prepared,input MBDyn generated; no solver run
7,primary,66.75,1.0,0.01,1.0,False,0.0,0.0,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_shadow,fd2a7fe929aa367fb9911932f42c9120b0fe0d4e83fb937563a5e75d545a5121,prepared,input MBDyn generated; no solver run
8,primary,66.75,1.0,0.01,1.0,True,0.0,0.0,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p00p00_qcmd_p00p00_nnom_01p00_excited,e72ec00fd2a9fc3657fd90b8cdfa1ddccb5c485a91fc0713af4706b013874fc9,prepared,input MBDyn generated; no solver run
9,primary,66.75,1.3,0.01,1.0,False,2.526164481003765,5.115483074032624,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p05p12_qcmd_p02p53_nnom_01p30_shadow,7b88ade7b13391a142f09d74f2755b3013469f4179b14e391bb27ec614fbdc31,prepared,input MBDyn generated; no solver run
10,primary,66.75,1.3,0.01,1.0,True,2.526164481003765,5.115483074032624,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p05p12_qcmd_p02p53_nnom_01p30_excited,79fd29615a9cf7a2ccace555b0a08480cd565aadc0d6e2409c1b2d9d20b2170f,prepared,input MBDyn generated; no solver run
11,primary,66.75,1.6,0.01,1.0,False,5.05232896200753,10.230966148065248,0.0,primary__dt_0p0100__f7_1p000__dive_pullup_V_066p750_n_1p000_bank_p00p00_pitch_p10p23_qcmd_p05p05_nnom_01p60_shadow,fed2a4894d85095868eb19ebab08b75a0cc0d1ece568d96459e97fe2dd7e952c,prepared,input MBDyn generated; no solver run
