$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  FUSELAGE GRID IDS
$  Extracted from /home/FLUT/MAD/V08/BULK/MAD_L108_GRIDS_R10_003.dat on
$    10/17/12
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$ Added Change Key for coordinates changed above
$
$ RELEASE 07 UPDATE 4-4-2011
$ ---------------------------
$ Moved winglet grids into separate dataset MAD_L108_GRIDS_WINGLET_R007_001
$ Rest of grids are now in MAD_L108_GRIDS_R007_001
$
$ RELEASE :NASA 01: UPDATE 11-8-2016
$ ---------------------------
$ Relocated all MLG related grids into master MLG file:
$ MAD_L108_FUSE_MLG_UPDATE.dat
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ WING ATTACH POINTS
$.......2.......3.......4.......5.......6.......7.......8.......9.......
GRID    1000    0       138.809 19.021  106.419 0
GRID    1001    0       138.809 -19.021 106.419 0
GRID    1002    0       138.809 19.021  98.316  0
GRID    1003    0       138.809 -19.021 98.316  0
GRID    1004    0       163.170 19.021  106.189 0
GRID    1005    0       163.170 -19.021 106.189 0
GRID    1006    0       163.170 19.021  97.331  0
GRID    1007    0       163.170 -19.021 97.331  0
GRID    1008    0       175.687 19.021  103.724 0
GRID    1009    0       175.687 -19.021 103.724 0
GRID    1010    0       175.687 19.021  98.342  0
GRID    1011    0       175.687 -19.021 98.342  0
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
GRID    10000   0       105.000 0.000   97.334  0
GRID    10001   0       105.000 0.000   99.060  0
