$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  GRID IDS
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$ Added Change Key for coordinates changed above
$
$ RELEASE 07 UPDATE 4-4-2011
$ ---------------------------
$ Moved winglet grids into separate dataset MAD_L108_GRIDS_WINGLET_R007_001
$ Rest of grids are now in MAD_L108_GRIDS_R007_001
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ WING ATTACH POINTS
$.......2.......3.......4.......5.......6.......7.......8.......9.......
$-----------------------------------------------------------------------
$
$ WING FLAP #2 GRIDS
$.......2.......3.......4.......5.......6.......7.......8.......9.......
$
GRID    52500   0       178.517 81.664  104.790 0
GRID    52501   0       179.097 83.101  104.790 0
GRID    52502   0       179.958 85.234  104.790 0
GRID    52503   0       180.239 85.929  104.790 0
GRID    52504   0       180.988 87.784  104.790 0
GRID    52505   0       181.883 89.999  104.790 0
GRID    52506   0       182.777 92.215  104.790 0
GRID    52507   0       183.672 94.430  104.790 0
GRID    52508   0       184.567 96.646  104.790 0
GRID    52509   0       185.462 98.861  104.790 0
GRID    52510   0       186.356 101.077 104.790 0
GRID    52511   0       187.251 103.292 104.790 0
GRID    52512   0       187.532 103.987 104.790 0
GRID    52513   0       187.813 104.683 104.790 0
GRID    52514   0       188.393 106.120 104.790 0
GRID    52515   0       188.973 107.557 104.790 0
GRID    52516   0       178.978 81.478  104.721 0
GRID    52517   0       179.558 82.915  104.721 0
GRID    52518   0       180.420 85.048  104.721 0
GRID    52519   0       180.700 85.743  104.721 0
