gruppo,sha256,byte_file,copie,byte_ridondanti_massimi,posizione_nel_gruppo,cartella,percorso
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,1,GRAFICI,GRAFICI/SOL101/mbdyn/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,2,MBDYN,MBDYN/AUTOPILOT/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,3,MBDYN,MBDYN/BBF/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,4,MBDYN,MBDYN/PID/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,5,MBDYN,MBDYN/PID_5deg_35ms/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,6,MBDYN,MBDYN/PID_pitch/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,7,MBDYN,MBDYN/PID_test/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,8,MBDYN,MBDYN/V-g_clamp/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,9,NASTRAN,NASTRAN/FEMGEN40/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,10,NASTRAN,NASTRAN/NASTRAN40/FEMGEN40/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,11,TEST,TEST/TRIM_PID_VELOCITY/include/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,12,TEST,TEST/bbf/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,13,X56_AERO_POLAR,X56_AERO_POLAR/mbdyn/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,14,bbf_manouver,bbf_manouver/INCLUDE/mbdyn_modal.fem
1,f94ce2ee7597648b9101b8395cfa2b7de9a542d5f9bf31ec52ea0fdc28d9e543,38715261,15,542013654,15,bff_eigenalaisy,bff_eigenalaisy/INCLUDE/mbdyn_modal.fem
2,63e23dc991d2f458d7665412abda8ad34ddbb1654822bfc0867e6512a1df252b,57377461,8,401642227,1,BFF_DUST_55,BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/mbdyn_modal.fem
