percorso,cartella,estensione,byte,mtime_utc,sha256,tracciato_git
BFF_DUST_55/.gitignore,BFF_DUST_55,[senza_estensione],714,2026-08-11T17:53:50+00:00,4576920d7fe8ac9c39d76c6b922c8ccca646c90b0dde3fff52984bc2cd7064a4,si
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/.gitignore,BFF_DUST_55,[senza_estensione],112,2026-08-11T15:57:58+00:00,b2282011a4c88da2d4d4d24fcf3d4ee4c2e788125d6420d930ede6e4a5595897,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/control_surfaces.mbd,BFF_DUST_55,.mbd,6436,2026-08-11T15:55:44+00:00,3e3c9aca365938a4aa53dee2e9cadefc3077bc365f5da3c2898f1ae10aa91fa8,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/coupling_hinge_joints.mbd,BFF_DUST_55,.mbd,9974,2026-08-10T23:08:00+00:00,97fcbcdfc89bdf6a6c2221687f6ffd275c2fa9181242e2e5e51da5e0d9cf5b75,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/coupling_hinge_nodes.mbd,BFF_DUST_55,.mbd,3839,2026-08-10T23:08:00+00:00,17010e71aeee609bafd83c46a1794902b7423f4583ecdda21b5c1ade14bd51d9,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/external_dust_force.mbd,BFF_DUST_55,.mbd,800,2026-08-10T23:09:51+00:00,7de0c8ff2081ae2fb91980d1f82346cf67e43f3c9ba388ebc75056e23d03037d,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/mbdyn_modal.fem,BFF_DUST_55,.fem,57377461,2026-08-10T23:08:00+00:00,63e23dc991d2f458d7665412abda8ad34ddbb1654822bfc0867e6512a1df252b,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/modaljoint.mbd,BFF_DUST_55,.mbd,3202,2026-08-10T23:08:00+00:00,dfb2e7ab6abfaaacae98daa316b640f8adb2ec55bd55082d71bc01d09f0a0a54,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/naca0012.c81,BFF_DUST_55,.c81,21130,2026-08-10T23:08:00+00:00,7d1f8cb52acd9ea29f3853465f292dd5dc47ba75f921ce17eab9881901ae370c,no
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE/node.mbd,BFF_DUST_55,.mbd,77109,2026-08-10T23:08:17+00:00,3f7882024180b1765827527d1d5cb9f8382e4c6f080320965810102ab8861119,no
