sottocartella,profondita,file_diretti,file_ricorsivi,byte_ricorsivi,ultimo_mtime_utc,estensioni_principali_ricorsive
.agents,1,0,0,0,,
.codex,1,0,0,0,,
BFF_DUST_55,1,10,1750,239486236,2026-08-13T00:26:07+00:00,.dat:626; .in:380; .h5:292; .log:228; .vtu:84; .mbd:35; .py:22; .pyc:16; .md:7; .xml:7; .pvd:6; .csv:6
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION,2,9,35,57747387,2026-08-11T15:59:51+00:00,.mbd:10; .in:8; .pyc:5; .py:5; [senza_estensione]:2; .fem:1; .c81:1; .md:1; .h5:1; .xml:1
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/INCLUDE,3,10,10,57506609,2026-08-11T15:55:44+00:00,.mbd:8; .fem:1; .c81:1
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/__pycache__,3,5,5,37799,2026-08-11T15:59:50+00:00,.pyc:5
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/dust,3,6,6,164271,2026-08-11T15:59:51+00:00,.in:5; .h5:1
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/output,3,1,4,5154,2026-08-11T15:59:51+00:00,.in:2; [senza_estensione]:1; .mbd:1
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/output/flutter_v60p8421,4,3,3,5153,2026-08-11T15:59:51+00:00,.in:2; .mbd:1
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/output/flutter_v60p8421/dust,5,0,0,0,,
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/paraview_results,3,0,0,0,,
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/structure,3,1,1,2218,2026-08-11T15:54:44+00:00,.in:1
BFF_DUST_55/CASE_DUST_SMOKE,2,14,1575,114131742,2026-08-11T15:29:54+00:00,.dat:621; .in:353; .h5:278; .log:213; .vtu:70; .mbd:10; .py:8; .md:4; .pvd:3; .pyc:3; .fem:1; .c81:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION,3,2,376,13636537,2026-08-11T15:17:10+00:00,.dat:153; .in:85; .h5:68; .log:51; .vtu:17; .md:1; .pvd:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_00_wf4_+00.0deg,4,10,22,802016,2026-08-11T15:16:54+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_00_wf4_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_00_wf4_+00.0deg/output,5,3,3,548544,2026-08-11T15:16:54+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_01_wf4_+02.5deg,4,10,22,802016,2026-08-11T15:16:54+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_01_wf4_+02.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_01_wf4_+02.5deg/output,5,3,3,548544,2026-08-11T15:16:52+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_02_wf4_+05.0deg,4,10,22,802016,2026-08-11T15:16:54+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_02_wf4_+05.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_02_wf4_+05.0deg/output,5,3,3,548544,2026-08-11T15:16:54+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_03_wf4_+07.5deg,4,10,22,802016,2026-08-11T15:16:55+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_03_wf4_+07.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_03_wf4_+07.5deg/output,5,3,3,548544,2026-08-11T15:16:55+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_04_wf4_+10.0deg,4,10,22,802018,2026-08-11T15:16:56+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_04_wf4_+10.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_04_wf4_+10.0deg/output,5,3,3,548544,2026-08-11T15:16:56+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_05_wf4_+07.5deg,4,10,22,802016,2026-08-11T15:16:57+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_05_wf4_+07.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_05_wf4_+07.5deg/output,5,3,3,548544,2026-08-11T15:16:57+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_06_wf4_+05.0deg,4,10,22,802016,2026-08-11T15:16:58+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_06_wf4_+05.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_06_wf4_+05.0deg/output,5,3,3,548544,2026-08-11T15:16:58+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_07_wf4_+02.5deg,4,10,22,802016,2026-08-11T15:16:59+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_07_wf4_+02.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_07_wf4_+02.5deg/output,5,3,3,548544,2026-08-11T15:16:59+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_08_wf4_+00.0deg,4,10,22,802016,2026-08-11T15:17:01+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_08_wf4_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_08_wf4_+00.0deg/output,5,3,3,548544,2026-08-11T15:17:01+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_09_wf4_-02.5deg,4,10,22,802018,2026-08-11T15:17:02+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_09_wf4_-02.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_09_wf4_-02.5deg/output,5,3,3,548544,2026-08-11T15:17:02+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_10_wf4_-05.0deg,4,10,22,802018,2026-08-11T15:17:03+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_10_wf4_-05.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_10_wf4_-05.0deg/output,5,3,3,548544,2026-08-11T15:17:03+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_11_wf4_-07.5deg,4,10,22,802018,2026-08-11T15:17:04+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_11_wf4_-07.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_11_wf4_-07.5deg/output,5,3,3,548544,2026-08-11T15:17:04+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_12_wf4_-10.0deg,4,10,22,802020,2026-08-11T15:17:05+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_12_wf4_-10.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_12_wf4_-10.0deg/output,5,3,3,548544,2026-08-11T15:17:05+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_13_wf4_-07.5deg,4,10,22,802018,2026-08-11T15:17:06+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_13_wf4_-07.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_13_wf4_-07.5deg/output,5,3,3,548544,2026-08-11T15:17:06+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_14_wf4_-05.0deg,4,10,22,802018,2026-08-11T15:17:08+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_14_wf4_-05.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_14_wf4_-05.0deg/output,5,3,3,548544,2026-08-11T15:17:08+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_15_wf4_-02.5deg,4,10,22,802018,2026-08-11T15:17:09+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_15_wf4_-02.5deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_15_wf4_-02.5deg/output,5,3,3,548544,2026-08-11T15:17:09+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_16_wf4_+00.0deg,4,10,22,802016,2026-08-11T15:17:10+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_16_wf4_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/AILERON_ANIMATION/frame_16_wf4_+00.0deg/output,5,3,3,548544,2026-08-11T15:17:10+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES,3,2,156,5615353,2026-08-11T15:29:03+00:00,.dat:63; .in:35; .h5:28; .log:21; .vtu:7; .md:1; .pvd:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/00_neutral,4,10,22,801942,2026-08-11T15:28:56+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/00_neutral/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/00_neutral/output,5,3,3,548544,2026-08-11T15:28:56+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/01_body_flaps_plus10,4,10,22,802014,2026-08-11T15:28:57+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/01_body_flaps_plus10/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/01_body_flaps_plus10/output,5,3,3,548544,2026-08-11T15:28:57+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/02_wf1_minus10,4,10,22,801974,2026-08-11T15:28:58+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/02_wf1_minus10/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/02_wf1_minus10/output,5,3,3,548544,2026-08-11T15:28:58+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/03_wf2_plus10,4,10,22,801965,2026-08-11T15:28:59+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/03_wf2_plus10/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/03_wf2_plus10/output,5,3,3,548544,2026-08-11T15:28:59+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/04_wf3_minus10,4,10,22,801974,2026-08-11T15:29:00+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/04_wf3_minus10/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/04_wf3_minus10/output,5,3,3,548544,2026-08-11T15:29:00+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/05_wf4_plus10,4,10,22,801965,2026-08-11T15:29:01+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/05_wf4_plus10/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/05_wf4_plus10/output,5,3,3,548544,2026-08-11T15:29:01+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/06_all_original_hinges,4,10,22,802040,2026-08-11T15:29:03+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/06_all_original_hinges/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/DEFLECTION_CASES/06_all_original_hinges/output,5,3,3,548544,2026-08-11T15:29:03+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/INCLUDE,3,10,10,57506606,2026-08-10T23:09:51+00:00,.mbd:8; .fem:1; .c81:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231,3,3,993,36099876,2026-08-11T15:29:54+00:00,.dat:405; .in:225; .h5:180; .log:135; .vtu:45; .md:1; .pvd:1; .csv:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:04+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:04+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:05+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:05+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg,4,10,22,802087,2026-08-11T15:29:06+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg/output,5,3,3,548544,2026-08-11T15:29:06+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:07+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:07+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:09+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:09+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:10+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg/output,5,3,3,548544,2026-08-11T15:29:10+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg,4,10,22,802089,2026-08-11T15:29:11+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg/output,5,3,3,548544,2026-08-11T15:29:11+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_07_WF4_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:12+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
