  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       7       4       1
     3      11       4       1
     4      14       3       1
     5      17       3       1
     6      20       3       1
     7      23       3       1
     8      26       3       1
     9      29       3       1
    10      32       3       1
    11      35       3       1
    12      38       3       1
    13      41       3       1
    14      44       3       1
    15      47       3       1
    16      50       3       1
    17      53       3       1
    18      56       3       1
    19      59       3       1
    20      62       3       1
    21      65       3       1
    22      68       3       1
    23      71       3       1
    24      74       3       1
    25      77       3       1
    26      80       3       1
    27      83       3       1
    28      86       3       1
    29      89       3       1
    30      92       3       1
    31      95       3       1
    32      98       3       1
    33     101       3       1
    34     104       3       1
    35     107       3       1
    36     110       3       1
    37     113       3       1
    38     116       3       1
    39     119       3       1
    40     122       3       1
    41     125       3       1
    42     128       3       1
    43     131       3       1
    44     134       3       1
    45     137       3       1
    46     140       3       1
    47     143       3       1
    48     146       3       1
    49     149       3       1
    50     152       3       1
