source,alpha_deg,CL,CD,Cm_cg
Nastran aeroelastico SOL144/DLM,-10.000001,-0.09423584,0.01661632,0.027391845833333334
Nastran aeroelastico SOL144/DLM,-9.000001,-0.08506033,0.01347223,0.024652662500000002
Nastran aeroelastico SOL144/DLM,-8.000001,-0.07580666,0.01065393,0.021913475
Nastran aeroelastico SOL144/DLM,-7.000001,-0.06648342,0.008163138,0.019174291666666666
Nastran aeroelastico SOL144/DLM,-6.000001,-0.05709923,0.006001371,0.016435108333333334
Nastran aeroelastico SOL144/DLM,-5.000001,-0.04766272,0.004169948,0.013695920833333333
Nastran aeroelastico SOL144/DLM,-4.000001,-0.03818259,0.002669987,0.0109567375
Nastran aeroelastico SOL144/DLM,-3.0,-0.02866753,0.001502402,0.008217554166666667
Nastran aeroelastico SOL144/DLM,-2.0,-0.01912626,0.0006679036,0.0054783708333333335
Nastran aeroelastico SOL144/DLM,-1.0,-0.0095675,0.0001670013,0.0027391845833333334
Nastran aeroelastico SOL144/DLM,0.0,0.0,0.0,0.0
Nastran aeroelastico SOL144/DLM,1.0,0.0095675,0.0001670013,-0.0027391845833333334
Nastran aeroelastico SOL144/DLM,2.0,0.01912626,0.0006679036,-0.0054783708333333335
Nastran aeroelastico SOL144/DLM,3.0,0.02866753,0.001502402,-0.008217554166666667
Nastran aeroelastico SOL144/DLM,4.000001,0.03818259,0.002669987,-0.0109567375
Nastran aeroelastico SOL144/DLM,5.000001,0.04766272,0.004169948,-0.013695920833333333
Nastran aeroelastico SOL144/DLM,6.000001,0.05709923,0.006001371,-0.016435108333333334
Nastran aeroelastico SOL144/DLM,7.000001,0.06648342,0.008163138,-0.019174291666666666
Nastran aeroelastico SOL144/DLM,8.000001,0.07580666,0.01065393,-0.021913475
Nastran aeroelastico SOL144/DLM,9.000001,0.08506033,0.01347223,-0.024652662500000002
Nastran aeroelastico SOL144/DLM,10.000001,0.09423584,0.01661632,-0.027391845833333334
Nastran aeroelastico SOL144/DLM,11.000002,0.1033246,0.02008427,-0.030131029166666667
Nastran aeroelastico SOL144/DLM,12.000002,0.1123182,0.02387398,-0.0328702125
Nastran aeroelastico SOL144/DLM,13.000002,0.1212082,0.02798311,-0.0356094
Nastran aeroelastico SOL144/DLM,14.000002,0.1299861,0.03240916,-0.03834858333333333
Nastran aeroelastico SOL144/DLM,15.000002,0.1386435,0.03714943,-0.04108776666666667
Nastran aeroelastico SOL144/DLM,16.000002,0.1471724,0.04220099,-0.04382695833333333
Nastran aeroelastico SOL144/DLM,17.000002,0.1555643,0.04756077,-0.04656612500000001
Nastran aeroelastico SOL144/DLM,18.000003,0.1638111,0.05322547,-0.04930533333333333
Nastran aeroelastico SOL144/DLM,19.000003,0.1719049,0.05919161,-0.0520445
Nastran aeroelastico SOL144/DLM,20.000003,0.1798376,0.06545552,-0.05478370833333333
Nastran rigido DLM,-10.000001,-1.066814,0.1881081,0.31005441666666667
Nastran rigido DLM,-9.000001,-0.9629408,0.1525148,0.2790489583333333
Nastran rigido DLM,-8.000001,-0.858183,0.1206098,0.24804354166666667
Nastran rigido DLM,-7.000001,-0.7526376,0.09241228,0.21703808333333333
Nastran rigido DLM,-6.000001,-0.6464021,0.0679396,0.18603266666666665
Nastran rigido DLM,-5.000001,-0.5395745,0.04720665,0.15502720833333333
Nastran rigido DLM,-4.000001,-0.4322529,0.03022607,0.12402175
Nastran rigido DLM,-3.0,-0.324536,0.01700821,0.09301633333333333
Nastran rigido DLM,-2.0,-0.2165222,0.007561123,0.062010875
Nastran rigido DLM,-1.0,-0.1083106,0.001890569,0.031005441666666664
Nastran rigido DLM,0.0,0.0,0.0,0.0
Nastran rigido DLM,1.0,0.1083106,0.001890569,-0.031005441666666664
Nastran rigido DLM,2.0,0.2165222,0.007561123,-0.062010875
Nastran rigido DLM,3.0,0.324536,0.01700821,-0.09301633333333333
Nastran rigido DLM,4.000001,0.4322529,0.03022607,-0.12402175
Nastran rigido DLM,5.000001,0.5395745,0.04720665,-0.15502720833333333
Nastran rigido DLM,6.000001,0.6464021,0.0679396,-0.18603266666666665
Nastran rigido DLM,7.000001,0.7526376,0.09241228,-0.21703808333333333
Nastran rigido DLM,8.000001,0.858183,0.1206098,-0.24804354166666667
Nastran rigido DLM,9.000001,0.9629408,0.1525148,-0.2790489583333333
Nastran rigido DLM,10.000001,1.066814,0.1881081,-0.31005441666666667
Nastran rigido DLM,11.000002,1.169705,0.2273677,-0.341059875
Nastran rigido DLM,12.000002,1.271519,0.2702697,-0.3720652916666667
Nastran rigido DLM,13.000002,1.372159,0.3167879,-0.40307075
Nastran rigido DLM,14.000002,1.471531,0.3668938,-0.43407625
Nastran rigido DLM,15.000002,1.569539,0.4205568,-0.46508166666666667
Nastran rigido DLM,16.000002,1.666091,0.477744,-0.49608708333333335
Nastran rigido DLM,17.000002,1.761093,0.5384203,-0.5270925
Nastran rigido DLM,18.000003,1.854454,0.6025485,-0.5580979166666666
Nastran rigido DLM,19.000003,1.946081,0.6700893,-0.5891033333333333
Nastran rigido DLM,20.000003,2.035884,0.7410011,-0.62010875
MBDyn naca0012,-10,-1.4167419981906357,0.24983394594062586,-0.5172264120435265
MBDyn naca0012,-9,-1.2787667523185264,0.20255835774661077,-0.4653486000906147
MBDyn naca0012,-8,-1.1397232700662374,0.1601940118695719,-0.4136455870029926
MBDyn naca0012,-7,-0.9994874544011697,0.12274141258476041,-0.3619444293070902
MBDyn naca0012,-6,-0.8584517556875054,0.0902026734573002,-0.3102365138754125
MBDyn naca0012,-5,-0.7166180989148319,0.06270794810227259,-0.2585326819657175
MBDyn naca0012,-4,-0.5741183313556071,0.04012727240258269,-0.2068248090605709
MBDyn naca0012,-3,-0.4309555587882702,0.022592620318881897,-0.1551229553261279
MBDyn naca0012,-2,-0.28752559250856824,0.010103656651737927,-0.1034189750439897
MBDyn naca0012,-1,-0.14382933485823365,0.0025285750707853935,-0.051708771645269
MBDyn naca0012,0,0.0,0.0,-0.0
MBDyn naca0012,1,0.14382933485823365,0.0025285750707853935,0.05170694814800798
MBDyn naca0012,2,0.28752559250856824,0.010103656651737927,0.10341203452813737
MBDyn naca0012,3,0.4309555587882702,0.022592620318881897,0.15512318362389987
MBDyn naca0012,4,0.5741183313556071,0.04012727240258269,0.206828531749567
MBDyn naca0012,5,0.7166180989148319,0.06270794810227259,0.25853290754153446
MBDyn naca0012,6,0.8584517556875054,0.0902026734573002,0.3102414304536791
MBDyn naca0012,7,0.9994874544011697,0.12274141258476041,0.36194414760713073
MBDyn naca0012,8,1.1397232700662374,0.1601940118695719,0.413645898338139
MBDyn naca0012,9,1.2787667523185264,0.20255835774661077,0.46534829779403386
MBDyn naca0012,10,1.4167419981906357,0.24983394594062586,0.5172257312995285
MBDyn naca0012,11,1.5533904950217228,0.30202022111882454,0.5689237245138786
MBDyn naca0012,12,1.6885771574918782,0.3589865030049186,0.6206204584515104
MBDyn naca0012,13,1.8222989329579595,0.42072941401228053,0.6723165839892508
MBDyn naca0012,14,1.9541674475760098,0.48724826798451054,0.7240093527668727
MBDyn naca0012,15,2.0843019006950367,0.558542339359363,0.7756981000332608
MBDyn naca0012,16,2.2125769724207527,0.6343527318291936,0.8273935551866755
MBDyn naca0012,17,2.338731362478984,0.7149288185772938,0.8790772176630821
MBDyn naca0012,18,2.4627573390263766,0.8000205824365164,0.9307630454487169
MBDyn naca0012,19,2.5843984898491987,0.8897470885106091,0.9824382606409022
MBDyn naca0012,20,2.703646348283688,0.9838556690502938,1.0341172722130116
MBDyn real_sections,-10,-0.6760768900706293,0.05526485073959978,0.152844489126121
MBDyn real_sections,-9,-0.6226332722769576,0.046969789318567136,0.12589952038163388
MBDyn real_sections,-8,-0.571244874975692,0.039423723189026504,0.09717502173173688
MBDyn real_sections,-7,-0.5210831845697942,0.03268667255788569,0.06513001835364206
MBDyn real_sections,-6,-0.4715240800544499,0.026744217718097874,0.02838102496715082
MBDyn real_sections,-5,-0.42875274381768647,0.021579612448148985,-0.01344690385295576
MBDyn real_sections,-4,-0.39856407622843915,0.017231927950348613,-0.0641632962973336
