variant,baseline_mode,n1p0_mode,n1p6_mode,f_unloaded_hz,f_supported_unloaded_hz,f_n1p0_hz,f_n1p6_hz,unloaded_to_n1p0_shift_percent,unloaded_to_n1p6_shift_percent,n1p0_to_n1p6_shift_percent,MAC_supported_unloaded,MAC_n1p0,MAC_n1p6,reliable
nodlm,7,4,4,3.217134,2.768387,2.763266,2.752805,-0.18498136279358252,-0.5628548320737023,-0.37857376018088135,0.9197491313109404,0.9197388666659213,0.9197380746217733,True
nodlm,8,5,5,5.302727,6.156754,6.162445,6.162051,0.09243507211754227,0.08603559602998045,-0.006393566190043164,0.9794341459864353,0.9795758858633721,0.9798049990665564,True
nodlm,9,6,6,8.705123,8.684733,8.684749,8.684594,0.00018423134022036247,-0.0016005097681068726,-0.0017847378202808294,0.8132460366551293,0.8139180079899566,0.814886110922563,False
nodlm,10,7,7,11.16398,10.88966,10.9003,10.90565,0.09770736643752355,0.1468365403511257,0.04908121794812956,0.9856831711604546,0.9854250139079102,0.9853160509007886,True
nodlm,11,8,8,12.25706,11.45177,11.45086,11.44915,-0.007946369862469297,-0.022878559384272378,-0.014933376183107543,0.9629597794547023,0.9624503324359223,0.962191526948248,True
nodlm,12,9,9,12.75892,12.81339,12.8239,12.82887,0.08202357065538488,0.1208111202421854,0.03875576072801676,0.9975774249702787,0.9974249486471953,0.9972876821963192,True
with_dlm,7,4,4,3.217134,2.768387,2.763275,2.751967,-0.18465626373769292,-0.5931251663875066,-0.40922456143525693,0.9197491313109404,0.9197390965122709,0.9197167531566105,True
with_dlm,8,5,5,5.302727,6.156754,6.162427,6.163087,0.09214271026582867,0.10286264482874742,0.010710066017818676,0.9794341459864353,0.9795754837634347,0.9798406704865316,True
with_dlm,9,6,6,8.705123,8.684733,8.684748,8.68461,0.00017271688146553834,-0.001416278427906964,-0.0015889925649140975,0.8132460366551293,0.8139161432727772,0.8150593304638019,False
with_dlm,10,7,7,11.16398,10.88966,10.90025,10.90877,0.09724821527945357,0.17548757261476752,0.07816334487741794,0.9856831711604546,0.9854260140588225,0.985227456065408,True
with_dlm,11,8,8,12.25706,11.45177,11.45087,11.44783,-0.007859047116731115,-0.03440516182214675,-0.026548201141051952,0.9629597794547023,0.9624517834941759,0.9620574310593936,True
with_dlm,12,9,9,12.75892,12.81339,12.82387,12.83152,0.08178944057739114,0.14149261046451653,0.059654378904339604,0.9975774249702787,0.9974243967439028,0.9973313063950356,True
