time_s,state,coupling_iterations,left_tip_dz_in,right_tip_dz_in,symmetric_tip_dz_in,antisymmetric_tip_dz_in,left_tip_vz_inps,right_tip_vz_inps,total_fx_lbf,total_fy_lbf,total_fz_lbf,global_mx_cg_lbfin,global_my_cg_lbfin,global_mz_cg_lbfin
0.002000000,SETTLING,3,6.927171026286e-01,6.707669984359e-01,6.817420505322e-01,1.097505209635e-02,3.832210293008e+00,-1.247135285721e+01,7.331939310499e+02,-2.046282569612e-01,1.363675376388e+03,-5.995324886629e+02,3.529601667582e+03,6.652788426927e+01
0.004000000,SETTLING,4,6.933755577495e-01,6.638503777193e-01,6.786129677344e-01,1.476259001507e-02,5.685934824044e+00,-1.853739785339e+01,4.728677646601e+00,1.851988052455e-02,1.738514588368e+02,7.155619230083e+02,4.089874200500e+03,3.732067786200e-01
0.006000000,SETTLING,4,6.790004520696e-01,6.953896591466e-01,6.871950556081e-01,-8.194603538456e-03,-3.879335509171e+00,6.442412268038e+00,6.944153558365e+00,-1.034667310212e-02,2.658369074634e+02,-1.801188675114e+02,3.845099140995e+03,2.226876793026e+00
0.008000000,HOLD,3,6.796783150719e-01,6.823705165795e-01,6.810244158257e-01,-1.346100753800e-03,-1.492370569003e+00,-1.567302152368e+00,6.016089121518e+00,-1.347395462997e-02,2.535063409925e+02,4.771526383240e+01,3.972485017039e+03,9.449246356604e-02
0.010000000,RAP,3,6.754773599750e-01,6.783950248761e-01,6.769361924255e-01,-1.458832450552e-03,-2.068914084804e+00,-2.034127111908e+00,6.062265723233e+00,-1.163792987849e-02,2.711874833879e+02,4.457804116718e+00,3.879519329423e+03,8.882401870328e-01
0.012000000,RAP,3,6.700241400168e-01,6.730406770707e-01,6.715324085437e-01,-1.508268526983e-03,-2.714130364386e+00,-2.672785323753e+00,6.003571461389e+00,-1.168948342073e-02,2.830953366872e+02,1.015593635616e+01,3.870587847833e+03,7.403500722025e-01
0.014000000,RAP,3,6.628822292574e-01,6.660250360806e-01,6.644536326690e-01,-1.571403411589e-03,-3.522359376556e+00,-3.468178334545e+00,5.915304813655e+00,-1.134347951482e-02,2.912273997150e+02,6.921487556384e+00,3.979149013687e+03,8.102877471275e-01
0.016000000,RAP,3,6.536265479996e-01,6.569345369122e-01,6.552805424559e-01,-1.653994456291e-03,-4.582060512278e+00,-4.508099380268e+00,5.896170763006e+00,-1.101588757792e-02,3.021600394898e+02,5.740731434426e+00,3.973003334713e+03,7.646585750489e-01
0.018000000,OPEN_LOOP,3,6.421066899119e-01,6.456290630973e-01,6.438678765046e-01,-1.761186592674e-03,-5.812120631299e+00,-5.711618808162e+00,5.902130890111e+00,-1.050121640883e-02,3.143058475122e+02,4.649107613258e+00,3.911789158727e+03,6.916542098242e-01
0.020000000,OPEN_LOOP,3,6.282138498223e-01,6.320068991778e-01,6.301103745000e-01,-1.896524677733e-03,-7.128663958255e+00,-6.996320995197e+00,5.880353486502e+00,-9.562334516567e-03,3.242052110668e+02,4.509511609558e+00,3.909650608802e+03,6.331349259827e-01
0.022000000,OPEN_LOOP,3,6.118306335440e-01,6.159541022418e-01,6.138923678929e-01,-2.061734348914e-03,-8.503696569247e+00,-8.336596296500e+00,5.868687044598e+00,-8.170074374071e-03,3.337148172557e+02,4.837915118381e+00,3.905171035186e+03,5.844957403118e-01
0.024000000,OPEN_LOOP,3,5.929539826323e-01,5.974681804058e-01,5.952110815190e-01,-2.257098886759e-03,-9.881514831137e+00,-9.679135093290e+00,5.867429531970e+00,-6.297194122462e-03,3.427762978098e+02,5.292257640517e+00,3.901376187804e+03,5.617902143500e-01
0.026000000,OPEN_LOOP,3,5.716651646383e-01,5.766287591926e-01,5.741469619155e-01,-2.481797277163e-03,-1.120519639668e+01,-1.096900331561e+01,5.882106587595e+00,-4.033524091258e-03,3.515797495651e+02,5.656685425068e+00,3.894181958529e+03,5.690553820429e-01
0.028000000,OPEN_LOOP,3,5.481092319654e-01,5.535780734412e-01,5.508436527033e-01,-2.734420737887e-03,-1.242809110426e+01,-1.216076653901e+01,5.915495413388e+00,-1.522880829022e-03,3.602755962993e+02,5.665939736427e+00,3.881361428452e+03,6.066269968830e-01
0.030000000,OPEN_LOOP,3,5.224737450344e-01,5.285005366121e-01,5.254871408233e-01,-3.013395788848e-03,-1.351949615205e+01,-1.322411396913e+01,5.970434553858e+00,1.002127445239e-03,3.690154525183e+02,5.303301704450e+00,3.861112591944e+03,6.625826293604e-01
0.032000000,RECOVERY,3,4.952097587173e-01,5.018455167669e-01,4.985276377421e-01,-3.317879024799e-03,-1.440725061836e+01,-1.408632169970e+01,6.844209507042e+00,3.186578912534e-03,3.963074103600e+02,6.213412624560e+00,3.973354981928e+03,7.578544681904e-01
0.034000000,RECOVERY,3,4.667391839677e-01,4.740330504168e-01,4.703861171923e-01,-3.646933224566e-03,-1.498916871586e+01,-1.464417662667e+01,7.085466249707e+00,5.253855208722e-03,4.085538324939e+02,5.681602324896e+00,3.986625852957e+03,8.332000298047e-01
0.036000000,RECOVERY,3,4.370304883802e-01,4.450269191668e-01,4.410287037735e-01,-3.998215393302e-03,-1.547382759859e+01,-1.510704617911e+01,7.394183564516e+00,6.620056121561e-03,4.222350666717e+02,4.842666365070e+00,4.000315342570e+03,8.954464638110e-01
0.038000000,RECOVERY,3,4.061946761748e-01,4.149333019503e-01,4.105639890625e-01,-4.369312887725e-03,-1.591766939631e+01,-1.553169659976e+01,7.729641027567e+00,7.184623650249e-03,4.364337361139e+02,3.906179103923e+00,4.008033939374e+03,9.320473583678e-01
