  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       7       4       1
     3      11       4       1
     4      14       3       1
     5      17       3       1
     6      20       3       1
     7      23       3       1
     8      26       3       1
     9      29       3       1
    10      32       3       1
    11      35       3       1
    12      38       3       1
    13      41       3       1
    14      44       3       1
    15      47       3       1
    16      50       3       1
    17      53       3       1
    18      56       3       1
    19      59       3       1
    20      62       3       1
