  TimeWindow  Iteration  ResAbs(MBDynNodes:Position)  ResAbs(MBDynNodes:Rotation)  ResAbs(MBDynNodes:Velocity)  ResAbs(MBDynNodes:AngularVelocity)
     1       1   1.77646769e+03   1.93188060e-01   1.54551987e+02   2.63592921e+01
     1       2   1.00991194e-04   4.95323502e-06   1.00991194e-01   4.95319714e-03
     1       3   9.28992292e-07   3.92229603e-08   9.28992291e-04   3.92225896e-05
     2       1   4.24331062e-02   1.16048778e-03   2.00859320e+02   3.26372950e+01
     2       2   1.06586684e-02   8.65646465e-05   8.00659338e+00   6.50223007e-02
     2       3   3.63159752e-06   3.56904409e-07   2.72798850e-03   2.68082269e-04
     2       4   1.18881067e-07   4.68265635e-09   8.93012468e-05   3.51736451e-06
     3       1   2.64792630e-02   1.04340744e-03   4.07904939e+01   6.24299735e+00
     3       2   3.59008009e-02   1.56914984e-04   2.70207325e+01   1.18092431e-01
     3       3   8.97216585e-06   8.05322675e-07   6.75289931e-03   6.06074135e-04
     3       4   2.93075767e-07   1.23092987e-08   2.20583428e-04   9.26391746e-06
     4       1   3.70940292e-02   9.06677562e-04   1.49161469e+01   3.96590086e-01
     4       2   1.42049360e-02   7.02737372e-05   1.07203277e+01   5.30338050e-02
     4       3   2.84198096e-07   4.96398138e-08   2.14481551e-04   3.74620639e-05
     5       1   4.56734773e-02   2.08080659e-03   9.20198362e+00   1.09497819e+00
     5       2   2.41574869e-03   1.24137112e-05   1.82941659e+00   9.40067860e-03
     5       3   5.73641585e-08   1.36215557e-09   4.34411656e-05   1.03153116e-06
     6       1   5.53250474e-02   2.33623970e-03   6.17821953e+00   4.86980589e-01
     6       2   1.31362375e-03   1.00134320e-05   9.98909149e-01   7.61438670e-03
     6       3   5.51520781e-08   1.25129244e-09   4.19388839e-05   9.51494254e-07
     7       1   6.32542709e-02   2.38358437e-03   4.79074740e+00   1.95140811e+00
     7       2   1.48960494e-04   2.16095254e-06   1.13816563e-01   1.65107111e-03
     7       3   2.76194758e-09   4.08669902e-10   2.11032757e-06   3.12246987e-07
     8       1   7.18219496e-02   2.43905248e-03   4.89932174e+00   1.04755285e+00
     8       2   1.36929848e-04   3.38225639e-06   1.05190844e-01   2.59823289e-03
     8       3   1.51428416e-08   3.92439044e-10   1.16328857e-05   3.01468055e-07
     9       1   7.90715501e-02   2.60522453e-03   4.37474179e+00   1.05414264e+00
     9       2   5.43762820e-05   3.54028523e-06   4.20222926e-02   2.73590536e-03
     9       3   2.30565078e-08   8.43139855e-10   1.78181954e-05   6.51572358e-07
    10       1   8.39456741e-02   2.62222627e-03   3.20282684e+00   4.82184031e-01
    10       2   7.97599807e-05   2.46754574e-06   6.20394485e-02   1.91927836e-03
    10       3   1.41835123e-08   4.65565289e-10   1.10323235e-05   3.62119064e-07
    11       1   8.78977830e-02   2.59211423e-03   3.08955243e+00   1.48516235e-01
    11       2   1.71583422e-04   2.11593887e-06   1.34390669e-01   1.65725098e-03
    11       3   1.17178522e-08   2.48732071e-10   9.17786593e-06   1.94810696e-07
    12       1   9.10119410e-02   2.56380176e-03   2.91602199e+00   1.51700235e-01
    12       2   1.31362470e-04   9.41323310e-07   1.03645238e-01   7.42687315e-04
    12       3   3.40739605e-09   1.13472971e-10   2.68845205e-06   8.95277245e-08
    13       1   9.34929058e-02   2.57375336e-03   2.77876072e+00   1.43542532e-01
    13       2   1.17262312e-04   5.99648162e-07   9.32327958e-02   4.76755804e-04
    13       3   1.91906058e-09   8.71760183e-11   1.52579757e-06   6.93098657e-08
    14       1   9.55374082e-02   2.64628398e-03   2.76570462e+00   1.33037934e-01
    14       2   1.06243570e-04   9.57917343e-07   8.51466268e-02   7.67677946e-04
    14       3   1.52803833e-09   1.43277049e-10   1.22461536e-06   1.14822530e-07
    15       1   9.73174539e-02   2.79002941e-03   2.97182566e+00   1.35063289e-01
    15       2   9.99049862e-05   1.35149741e-06   8.07241269e-02   1.09198555e-03
    15       3   2.07942817e-09   2.03769848e-10   1.68018719e-06   1.64642168e-07
    16       1   9.84629992e-02   5.29800199e-03   5.63599928e+00   3.13817924e+00
    16       2   1.01254640e-04   1.57693854e-06   8.25000734e-02   1.28481028e-03
    16       3   2.83539355e-07   1.08756607e-08   2.31021691e-04   8.86117392e-06
    17       1   9.96784721e-02   5.39233010e-03   4.73906334e+00   1.63403912e+00
    17       2   4.85395795e-05   1.98041194e-06   3.98846771e-02   1.62725137e-03
    17       3   3.60755246e-08   1.27599540e-09   2.96430378e-05   1.04846529e-06
    18       1   1.00909821e-01   5.59434408e-03   4.13860650e+00   4.78617219e-01
    18       2   2.46696033e-04   1.91699835e-06   2.04440504e-01   1.58861223e-03
    18       3   3.37664097e-07   1.28309972e-08   2.79827023e-04   1.06331293e-05
    19       1   1.02651774e-01   5.88188316e-03   4.37580220e+00   2.60603307e-01
    19       2   1.37820866e-04   8.10189085e-07   1.15190379e-01   6.77130512e-04
    19       3   1.07968097e-07   4.09985131e-09   9.02395022e-05   3.42661286e-06
    20       1   1.04666798e-01   6.23502822e-03   4.38038317e+00   2.58084882e-01
    20       2   1.32301510e-04   3.18168065e-07   1.11517559e-01   2.68174752e-04
    20       3   6.60380327e-08   2.51349827e-09   5.56637639e-05   2.11861697e-06
