  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       3       3       1       0       0       0
     2       7       4       1       0       0       0
     3      11       4       1       0       0       0
     4      14       3       1       0       0       0
     5      17       3       1       0       0       0
     6      20       3       1       0       0       0
     7      23       3       1       0       0       0
     8      26       3       1       0       0       0
     9      29       3       1       0       0       0
    10      32       3       1       0       0       0
    11      35       3       1       0       0       0
    12      38       3       1       0       0       0
    13      41       3       1       0       0       0
    14      44       3       1       0       0       0
    15      47       3       1       0       0       0
    16      50       3       1       0       0       0
    17      53       3       1       0       0       0
    18      56       3       1       0       0       0
    19      59       3       1       0       0       0
    20      62       3       1       0       0       0
