campaign,V,n,dt,sigma,frequency,sigma_joint,sigma_tip,sigma_pitch_rate,old_sigma,delta_sigma_vs_1g,shadow_tip_amplitude_mm,shadow_oscillation_explained
primary,66.25,1.0,0.01,0.1937014750926518,1.9288110363376132,0.22265292325790667,0.19312732057514762,0.2769236552425389,-0.3638451474979743,0.0,0.05466044370645335,0.7997984123319373
primary,66.25,1.3,0.01,0.22351437445010588,1.9249389130335988,0.2526602005061081,0.22290054704193119,0.30534293693620185,-0.31081736370758684,0.029812899357454098,0.22226424183393323,0.9661522688518618
primary,66.25,1.6,0.01,0.22176993277966472,1.9151618327213782,0.24875235619360275,0.22102073577486575,0.2957277327918688,-0.3153095361253019,0.028068457687012938,0.0803662259804543,0.3380339501669324
primary,66.75,1.0,0.01,0.40193036237010904,1.9027902223758317,0.42675871764199264,0.4014110535686463,0.4621841756011375,-0.09615868873805593,0.0,0.1126479147765948,0.9387274614706924
primary,66.75,1.3,0.01,0.43780279346078876,1.9001391047214615,0.4599508180646883,0.4372349229243222,0.49134915988697486,-0.049674255526421345,0.035872431090679724,0.22099043606078386,0.9658285449597507
primary,66.75,1.6,0.01,0.43566029248147353,1.8903350320632049,0.4572223440308668,0.4349628468018814,0.4837766295672882,-0.03617364833087061,0.03372993011136449,0.28491395699595723,0.9023437546565001
primary,67.25,1.0,0.01,0.6328780151103418,1.8756603450920557,0.6507089724981735,0.6324357815508069,0.6719719834162057,0.2196351720728996,0.0,0.11261074990533335,0.9441047229094576
primary,67.25,1.3,0.01,0.654198515265327,1.8718105099002011,0.6725623831909353,0.6537040324951964,0.6930950842951304,0.2455200304396951,0.02132050015498521,0.1481814178239968,0.7659615728066335
primary,67.25,1.6,0.01,0.6628484738200902,1.8627686872906462,0.6791722555878865,0.6621897841266607,0.6886398074580681,0.2660908359447811,0.02997045870974835,0.5761862243180512,0.9690403351047948
timestep,66.75,1.6,0.005,0.43157697100029535,1.8884461621381234,0.45416784708362035,0.4308595107397924,0.4759009282538106,-0.020076641776601734,0.02964660863018631,0.19209202120730234,0.5519441607390437
