name,group,velocity_mps,nominal_load_factor,dt,excited,input_path,prefix
V_66p250_n_1p300__sham_release,causal/V_66p250_n_1p300,66.25,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p300/V_66p250_n_1p300__sham_release.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p300/cases/V_66p250_n_1p300__sham_release
V_66p250_n_1p300__pullup_sas_continuous,causal/V_66p250_n_1p300,66.25,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p300/V_66p250_n_1p300__pullup_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p300/cases/V_66p250_n_1p300__pullup_sas_continuous
V_66p250_n_1p300__sham_sas_continuous,causal/V_66p250_n_1p300,66.25,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p300/V_66p250_n_1p300__sham_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p300/cases/V_66p250_n_1p300__sham_sas_continuous
V_66p250_n_1p600__sham_release,causal/V_66p250_n_1p600,66.25,1.6,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p600/V_66p250_n_1p600__sham_release.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p600/cases/V_66p250_n_1p600__sham_release
V_66p250_n_1p600__pullup_sas_continuous,causal/V_66p250_n_1p600,66.25,1.6,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p600/V_66p250_n_1p600__pullup_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p600/cases/V_66p250_n_1p600__pullup_sas_continuous
V_66p250_n_1p600__sham_sas_continuous,causal/V_66p250_n_1p600,66.25,1.6,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p250_n_1p600/V_66p250_n_1p600__sham_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p250_n_1p600/cases/V_66p250_n_1p600__sham_sas_continuous
V_66p750_n_1p300__sham_release,causal/V_66p750_n_1p300,66.75,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p750_n_1p300/V_66p750_n_1p300__sham_release.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p750_n_1p300/cases/V_66p750_n_1p300__sham_release
V_66p750_n_1p300__pullup_sas_continuous,causal/V_66p750_n_1p300,66.75,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p750_n_1p300/V_66p750_n_1p300__pullup_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p750_n_1p300/cases/V_66p750_n_1p300__pullup_sas_continuous
V_66p750_n_1p300__sham_sas_continuous,causal/V_66p750_n_1p300,66.75,1.3,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p750_n_1p300/V_66p750_n_1p300__sham_sas_continuous.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p750_n_1p300/cases/V_66p750_n_1p300__sham_sas_continuous
V_66p750_n_1p600__sham_release,causal/V_66p750_n_1p600,66.75,1.6,0.01,False,/home/nicomonzi/X_56/workflows/maneuver_bff/sweep_pullup_v3/inputs/causal/V_66p750_n_1p600/V_66p750_n_1p600__sham_release.mbd,/mnt/c/Users/Utente/Desktop/BFF_PULLUP_V2/pullup_bff_sweep_v3/causal/V_66p750_n_1p600/cases/V_66p750_n_1p600__sham_release
